Repeats,Turns,Go,Old Kent Road,Community Chest,Whitechapel Road,Income Tax,Kings Cross Station,"The Angel, Islington",Chance,Euston Road,Pentonville Road,Jail,Pall Mall,Electric Company,Whitehall,Northumberland Avenue,Marylebone Station,Bow Street,Community Chest,Marlborough Street,Vine Street,Free Parking,Strand,Chance,Fleet Street,Trafalgar Square,Fenchurch Street Station,Leicester Square,Coventry Street,Water Works,Piccadilly,Go to Jail,Regent Street,Oxford Street,Community Chest,Bond Street,Liverpool Street Station,Chance,Park Lane,Super Tax,Mayfair
2000,40,0.0272375,0.01995,0.019025,0.0195,0.0216375,0.027425,0.02015,0.0212125,0.0217,0.0204,0.0547,0.0254125,0.025475,0.02315,0.0244875,0.028825,0.0272125,0.0275625,0.0271875,0.028925,0.0278625,0.0267125,0.0257375,0.0256,0.029725,0.0284625,0.0255375,0.0245875,0.0268875,0.0249125,0.025175,0.0236875,0.023775,0.02435,0.0218125,0.0203125,0.0198875,0.019675,0.019925,0.0242
2000,40,0.0272125,0.0193625,0.01955,0.0205125,0.0211125,0.0281125,0.0205375,0.0218,0.0209625,0.02045,0.055,0.0252875,0.025425,0.0229375,0.0239875,0.02855,0.0276375,0.0274125,0.0270875,0.028375,0.0270375,0.0278625,0.026225,0.0255,0.029975,0.02835,0.025075,0.0248125,0.0270875,0.024575,0.025075,0.0239625,0.0228625,0.0236,0.022825,0.0206,0.0201625,0.0202125,0.0189375,0.02395
2000,40,0.0286875,0.019325,0.01975,0.020275,0.0221375,0.0273625,0.0204875,0.0209125,0.0216375,0.0204,0.0536,0.025425,0.0255,0.0223625,0.0243125,0.02885,0.0263375,0.02765,0.0281,0.0293375,0.026775,0.0268375,0.02565,0.0257875,0.029575,0.0289125,0.0248375,0.0248375,0.0262375,0.0259375,0.024125,0.024825,0.0233,0.0243375,0.022675,0.0208375,0.0205625,0.0197625,0.0192,0.0225375
2000,40,0.02725,0.0197875,0.0196125,0.0193,0.020725,0.0264375,0.021575,0.021025,0.020675,0.020275,0.0550875,0.0255125,0.025,0.0224125,0.025525,0.0290125,0.0275375,0.0273875,0.027425,0.0289625,0.0278125,0.0258625,0.0264125,0.0257125,0.0294375,0.0299375,0.0246375,0.024925,0.026725,0.0247625,0.0253,0.0241625,0.0235,0.024925,0.021875,0.0203875,0.0209,0.019425,0.01905,0.023725
2000,40,0.0282125,0.0191625,0.0198625,0.0197375,0.02225,0.0274,0.0205375,0.020525,0.0211125,0.0204625,0.0544625,0.0255875,0.0245125,0.02295,0.025975,0.0291,0.02665,0.0276875,0.0268875,0.0290875,0.0273625,0.0275625,0.026325,0.025225,0.029775,0.027925,0.0243625,0.0252,0.0262375,0.0248625,0.024475,0.024575,0.0232375,0.0241625,0.0218875,0.021075,0.0206375,0.0204625,0.019075,0.0234125
2000,40,0.02835,0.019725,0.019825,0.0198125,0.0211,0.026575,0.02075,0.0216375,0.02025,0.0206375,0.054325,0.0262875,0.0254625,0.0223875,0.0250875,0.0289875,0.0273625,0.0271375,0.0276875,0.02915,0.02695,0.026825,0.02555,0.025625,0.029975,0.0279,0.0253375,0.0243375,0.027575,0.0237375,0.0247625,0.024675,0.0240375,0.02375,0.0222,0.0216,0.019725,0.0208,0.0190125,0.0230875
2000,40,0.0290625,0.0184875,0.01935,0.02015,0.022,0.0278375,0.0205,0.0205375,0.0214375,0.020275,0.0547625,0.0256625,0.023925,0.0233375,0.0238375,0.02905,0.0265,0.028175,0.0278625,0.0288875,0.0278625,0.0270875,0.025925,0.0255375,0.0288125,0.029475,0.0253375,0.0254875,0.0261125,0.024775,0.025175,0.02375,0.0246875,0.0243125,0.02195,0.0203125,0.019725,0.01885,0.020025,0.0231625
2000,40,0.0276625,0.0193875,0.0201875,0.0194,0.021325,0.0273875,0.019975,0.02025,0.0204625,0.0211875,0.054625,0.025325,0.0243625,0.0237875,0.0248375,0.02885,0.0264125,0.0277625,0.0282125,0.0289625,0.0273375,0.0270125,0.0269125,0.0254125,0.0302125,0.029725,0.025375,0.0247875,0.025625,0.024075,0.0250625,0.0252625,0.0232125,0.0241875,0.0216875,0.021175,0.0198125,0.0195375,0.0196625,0.0235625
2000,40,0.028375,0.01895,0.019325,0.01965,0.021925,0.02725,0.0209625,0.0202625,0.021,0.02045,0.0536375,0.0256,0.0262625,0.0241625,0.0243875,0.028225,0.0271375,0.0269875,0.0273875,0.0291625,0.0270875,0.0271375,0.026275,0.0267875,0.03015,0.02825,0.0248,0.023775,0.0262875,0.025775,0.02475,0.0249375,0.0230125,0.0242625,0.0218,0.0211,0.0201375,0.02,0.0196,0.022975
2000,40,0.028025,0.0184375,0.0199,0.0203,0.0210375,0.0268875,0.0212875,0.020525,0.020375,0.0206375,0.054425,0.0252375,0.02525,0.02255,0.0248375,0.0284125,0.027375,0.02725,0.0277125,0.02955,0.0266375,0.0270375,0.025975,0.024925,0.031175,0.029025,0.0248125,0.0248625,0.0264875,0.0245375,0.0249,0.0239,0.02315,0.0245375,0.0227625,0.021125,0.0201375,0.0207625,0.0195875,0.02365
2000,40,0.0286375,0.0193125,0.0199375,0.0205625,0.021075,0.0272625,0.0205125,0.0219375,0.0206375,0.0205625,0.0532875,0.0265625,0.02485,0.022425,0.0256625,0.028975,0.0271125,0.02755,0.027,0.0294,0.0268125,0.027175,0.02635,0.025475,0.0301375,0.02915,0.0247,0.02515,0.0252125,0.0245625,0.023875,0.0249,0.0240875,0.0240125,0.0223125,0.0202375,0.020375,0.0192625,0.0196125,0.0233375
2000,40,0.02775,0.0183625,0.0194125,0.02055,0.0221875,0.0288125,0.02,0.0209,0.021525,0.0204,0.054175,0.0253125,0.0252,0.02355,0.0241125,0.02885,0.0273875,0.0266375,0.0283375,0.0284,0.0264125,0.0270875,0.026225,0.02675,0.0290125,0.029125,0.0247625,0.0245375,0.0264125,0.0248,0.023775,0.0246625,0.0237,0.02465,0.0219625,0.0210875,0.0203875,0.0197375,0.0187375,0.0243125
2000,40,0.028275,0.0195375,0.0187375,0.0202375,0.0208125,0.0267,0.0210125,0.0206875,0.0219625,0.020725,0.0545875,0.02565,0.025,0.0231,0.024875,0.0288875,0.0276375,0.027425,0.0273375,0.0288875,0.026875,0.026625,0.02595,0.0258125,0.0295,0.0298125,0.025325,0.0240875,0.0264875,0.02525,0.024825,0.0249875,0.02315,0.0244875,0.021025,0.0220375,0.0202875,0.0191,0.01985,0.02245
2000,40,0.0282,0.01965,0.0195125,0.019975,0.0219375,0.026775,0.0215375,0.0216125,0.021425,0.019725,0.0544375,0.0255125,0.0252625,0.0239625,0.0242,0.029025,0.026925,0.0276375,0.0273375,0.029675,0.0263625,0.0268875,0.0269375,0.0256625,0.0291375,0.0283125,0.02495,0.02475,0.0266125,0.0252625,0.025,0.0239625,0.023725,0.02375,0.0219,0.0207625,0.0190875,0.0198625,0.01925,0.0235
2000,30,0.02845,0.0198,0.0193,0.019883333333333333,0.0216,0.027816666666666667,0.021683333333333332,0.021183333333333332,0.02105,0.020766666666666666,0.0535,0.0259,0.02485,0.023766666666666665,0.02475,0.0288,0.026516666666666668,0.027133333333333332,0.027566666666666666,0.029733333333333334,0.026433333333333333,0.02675,0.026216666666666666,0.024966666666666668,0.02925,0.03005,0.02493333333333333,0.024783333333333334,0.02605,0.024533333333333334,0.024133333333333333,0.023583333333333335,0.0236,0.02515,0.022133333333333335,0.021433333333333332,0.019433333333333334,0.019166666666666665,0.01935,0.024
2000,30,0.0284,0.01915,0.0196,0.018516666666666667,0.021533333333333335,0.027916666666666666,0.0218,0.02085,0.0194,0.0204,0.0567,0.02605,0.0248,0.023283333333333333,0.023,0.028516666666666666,0.028416666666666666,0.027033333333333333,0.0276,0.029783333333333332,0.027616666666666668,0.025716666666666665,0.025283333333333335,0.025733333333333334,0.03153333333333333,0.02811666666666667,0.024916666666666667,0.024883333333333334,0.02581666666666667,0.024433333333333335,0.025633333333333334,0.023816666666666667,0.02425,0.024683333333333335,0.021616666666666666,0.02121666666666667,0.019433333333333334,0.0198,0.020033333333333334,0.022716666666666666
2000,30,0.02865,0.019033333333333333,0.019966666666666667,0.019116666666666667,0.0206,0.027916666666666666,0.020666666666666667,0.020566666666666667,0.02065,0.02025,0.0545,0.025566666666666668,0.025033333333333335,0.0227,0.024483333333333333,0.0293,0.0273,0.0273,0.027766666666666665,0.02905,0.0271,0.026416666666666668,0.02545,0.02645,0.030633333333333332,0.028983333333333333,0.024883333333333334,0.025083333333333332,0.0266,0.025633333333333334,0.02525,0.023366666666666668,0.024083333333333335,0.024316666666666667,0.020883333333333334,0.02121666666666667,0.021516666666666667,0.019883333333333333,0.018683333333333333,0.02315
2000,30,0.027566666666666666,0.019666666666666666,0.019416666666666665,0.020233333333333332,0.022133333333333335,0.02815,0.019766666666666665,0.0218,0.021116666666666666,0.02085,0.05438333333333333,0.0261,0.024133333333333333,0.02415,0.024166666666666666,0.029316666666666668,0.027033333333333333,0.02685,0.027533333333333333,0.029016666666666666,0.026966666666666667,0.02675,0.025866666666666666,0.0272,0.02855,0.028766666666666666,0.023933333333333334,0.02495,0.026033333333333332,0.025066666666666668,0.02445,0.023716666666666667,0.024916666666666667,0.024,0.0224,0.02135,0.01935,0.0199,0.0196,0.02285
2000,30,0.027716666666666667,0.018416666666666668,0.01948333333333333,0.02035,0.021566666666666668,0.027316666666666666,0.021266666666666666,0.020283333333333334,0.021433333333333332,0.019533333333333333,0.055433333333333334,0.025633333333333334,0.025483333333333334,0.024166666666666666,0.02493333333333333,0.02905,0.027433333333333334,0.0268,0.027616666666666668,0.027866666666666668,0.027666666666666666,0.0275,0.0269,0.025666666666666667,0.030283333333333332,0.028816666666666668,0.0249,0.024483333333333333,0.02545,0.0244,0.026166666666666668,0.024183333333333334,0.02325,0.023533333333333333,0.021966666666666666,0.02105,0.019983333333333332,0.01995,0.019133333333333332,0.022933333333333333
2000,30,0.027366666666666668,0.019733333333333332,0.0197,0.02036666666666667,0.021683333333333332,0.0267,0.02035,0.021816666666666668,0.021166666666666667,0.020916666666666667,0.05355,0.026983333333333335,0.024183333333333334,0.022816666666666666,0.02485,0.02935,0.027333333333333334,0.02855,0.0267,0.028133333333333333,0.027116666666666667,0.02605,0.02745,0.025583333333333333,0.029966666666666666,0.03025,0.0247,0.024,0.025966666666666666,0.025233333333333333,0.024516666666666666,0.023233333333333335,0.02465,0.024233333333333332,0.022983333333333335,0.020116666666666668,0.0193,0.0206,0.0192,0.0226
